+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                  ;
+----------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                              ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; l2_cache|l2_cache_tag|way_tags_gen[1].sram_tags                                        ; 37    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_tag|way_tags_gen[0].sram_dirty_flags                                 ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_tag|way_tags_gen[0].sram_tags                                        ; 37    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_tag|cache_lru|lru_data                                               ; 26    ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_tag|cache_lru                                                        ; 24    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_tag                                                                  ; 1187  ; 0              ; 0            ; 0              ; 1292   ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_arb                                                                  ; 1749  ; 0              ; 0            ; 0              ; 1130   ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache                                                                               ; 655   ; 0              ; 0            ; 0              ; 697    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|io_request_queue|idx_to_oh_wake_thread                                ; 2     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|io_request_queue|oh_to_idx_send_thread                                ; 4     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|io_request_queue|arbiter_send                                         ; 7     ; 1              ; 0            ; 1              ; 4      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|io_request_queue                                                      ; 107   ; 0              ; 0            ; 0              ; 105    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|l2_cache_interface|idx_to_oh_ifill_way                                ; 2     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|l2_cache_interface|idx_to_oh_dfill_way                                ; 2     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|l2_cache_interface|convert_snoop_request_pending                      ; 4     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|l2_cache_interface|l1_load_miss_queue_icache|oh_to_idx_send_grant     ; 4     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|l2_cache_interface|l1_load_miss_queue_icache|arbiter_send             ; 7     ; 1              ; 0            ; 1              ; 4      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|l2_cache_interface|l1_load_miss_queue_icache|idx_to_oh_miss_thread    ; 2     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|l2_cache_interface|l1_load_miss_queue_icache                          ; 42    ; 2              ; 0            ; 2              ; 40     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|l2_cache_interface|l1_load_miss_queue_dcache|oh_to_idx_send_grant     ; 4     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|l2_cache_interface|l1_load_miss_queue_dcache|arbiter_send             ; 7     ; 1              ; 0            ; 1              ; 4      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|l2_cache_interface|l1_load_miss_queue_dcache|idx_to_oh_miss_thread    ; 2     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|l2_cache_interface|l1_load_miss_queue_dcache                          ; 42    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|l2_cache_interface|l1_store_queue|oh_to_idx_send_grant                ; 4     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|l2_cache_interface|l1_store_queue|arbiter_send                        ; 7     ; 1              ; 0            ; 1              ; 4      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|l2_cache_interface|l1_store_queue                                     ; 657   ; 0              ; 12           ; 0              ; 1197   ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|l2_cache_interface                                                    ; 1365  ; 1              ; 6            ; 1              ; 2327   ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|control_registers                                                     ; 117   ; 0              ; 0            ; 0              ; 200    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|writeback_stage|convert_dd_lane                                       ; 4     ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|writeback_stage|idx_to_oh_thread                                      ; 2     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|writeback_stage                                                       ; 2795  ; 5              ; 264          ; 5              ; 657    ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|fp_execute_stage5                                                     ; 2128  ; 0              ; 0            ; 0              ; 670    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|fp_execute_stage4                                                     ; 2128  ; 0              ; 0            ; 0              ; 2126   ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|fp_execute_stage3                                                     ; 2688  ; 0              ; 0            ; 0              ; 2126   ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|fp_execute_stage2                                                     ; 2741  ; 0              ; 0            ; 0              ; 2686   ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|fp_execute_stage1                                                     ; 1187  ; 0              ; 0            ; 0              ; 2734   ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|int_execute_stage|lane_alu_gen[15].rom                                ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|int_execute_stage|lane_alu_gen[14].rom                                ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|int_execute_stage|lane_alu_gen[13].rom                                ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|int_execute_stage|lane_alu_gen[12].rom                                ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|int_execute_stage|lane_alu_gen[11].rom                                ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|int_execute_stage|lane_alu_gen[10].rom                                ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|int_execute_stage|lane_alu_gen[9].rom                                 ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|int_execute_stage|lane_alu_gen[8].rom                                 ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|int_execute_stage|lane_alu_gen[7].rom                                 ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|int_execute_stage|lane_alu_gen[6].rom                                 ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|int_execute_stage|lane_alu_gen[5].rom                                 ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|int_execute_stage|lane_alu_gen[4].rom                                 ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|int_execute_stage|lane_alu_gen[3].rom                                 ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|int_execute_stage|lane_alu_gen[2].rom                                 ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|int_execute_stage|lane_alu_gen[1].rom                                 ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|int_execute_stage|lane_alu_gen[0].rom                                 ; 6     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|int_execute_stage                                                     ; 1827  ; 0              ; 512          ; 0              ; 704    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|dcache_tag_stage|lru|lru_data                                         ; 18    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|dcache_tag_stage|lru                                                  ; 19    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|dcache_tag_stage|way_tag_gen[3].sram_tags                             ; 42    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|dcache_tag_stage|way_tag_gen[2].sram_tags                             ; 42    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|dcache_tag_stage|way_tag_gen[1].sram_tags                             ; 42    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|dcache_tag_stage|way_tag_gen[0].sram_tags                             ; 42    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|dcache_tag_stage                                                      ; 1747  ; 0              ; 512          ; 0              ; 872    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|dcache_data_stage|l1d_data                                            ; 531   ; 0              ; 0            ; 0              ; 512    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|dcache_data_stage|encode_hit_way                                      ; 4     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|dcache_data_stage|idx_to_oh_cache_lane                                ; 4     ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|dcache_data_stage|idx_to_oh_subcycle                                  ; 4     ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|dcache_data_stage                                                     ; 1348  ; 24             ; 0            ; 24             ; 1537   ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|operand_fetch_stage|vector_lane_gen[15].vector_registers              ; 57    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|operand_fetch_stage|vector_lane_gen[14].vector_registers              ; 57    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|operand_fetch_stage|vector_lane_gen[13].vector_registers              ; 57    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|operand_fetch_stage|vector_lane_gen[12].vector_registers              ; 57    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|operand_fetch_stage|vector_lane_gen[11].vector_registers              ; 57    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|operand_fetch_stage|vector_lane_gen[10].vector_registers              ; 57    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|operand_fetch_stage|vector_lane_gen[9].vector_registers               ; 57    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|operand_fetch_stage|vector_lane_gen[8].vector_registers               ; 57    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|operand_fetch_stage|vector_lane_gen[7].vector_registers               ; 57    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|operand_fetch_stage|vector_lane_gen[6].vector_registers               ; 57    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|operand_fetch_stage|vector_lane_gen[5].vector_registers               ; 57    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|operand_fetch_stage|vector_lane_gen[4].vector_registers               ; 57    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|operand_fetch_stage|vector_lane_gen[3].vector_registers               ; 57    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|operand_fetch_stage|vector_lane_gen[2].vector_registers               ; 57    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|operand_fetch_stage|vector_lane_gen[1].vector_registers               ; 57    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|operand_fetch_stage|vector_lane_gen[0].vector_registers               ; 57    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|operand_fetch_stage|scalar_registers                                  ; 57    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|operand_fetch_stage                                                   ; 684   ; 0              ; 0            ; 0              ; 1694   ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|thread_select_stage|thread_oh_to_idx                                  ; 4     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|thread_select_stage|thread_select_arbiter                             ; 7     ; 1              ; 0            ; 1              ; 4      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|thread_select_stage|thread_logic_gen[3].instruction_fifo              ; 140   ; 2              ; 0            ; 2              ; 139    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|thread_select_stage|thread_logic_gen[2].instruction_fifo              ; 140   ; 2              ; 0            ; 2              ; 139    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|thread_select_stage|thread_logic_gen[1].instruction_fifo              ; 140   ; 2              ; 0            ; 2              ; 139    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|thread_select_stage|thread_logic_gen[0].instruction_fifo              ; 140   ; 2              ; 0            ; 2              ; 139    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|thread_select_stage                                                   ; 175   ; 0              ; 0            ; 0              ; 147    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|instruction_decode_stage                                              ; 72    ; 0              ; 0            ; 0              ; 138    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|ifetch_data_stage|sram_l1i_data                                       ; 531   ; 0              ; 0            ; 0              ; 512    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|ifetch_data_stage|oh_to_idx_hit_way                                   ; 4     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|ifetch_data_stage                                                     ; 675   ; 6              ; 0            ; 6              ; 108    ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|ifetch_tag_stage|idx_to_oh_miss_thread                                ; 2     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|ifetch_tag_stage|cache_lru|lru_data                                   ; 18    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|ifetch_tag_stage|cache_lru                                            ; 19    ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|ifetch_tag_stage|way_tag_gen[3].sram_tags                             ; 35    ; 0              ; 0            ; 0              ; 20     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|ifetch_tag_stage|way_tag_gen[2].sram_tags                             ; 35    ; 0              ; 0            ; 0              ; 20     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|ifetch_tag_stage|way_tag_gen[1].sram_tags                             ; 35    ; 0              ; 0            ; 0              ; 20     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|ifetch_tag_stage|way_tag_gen[0].sram_tags                             ; 35    ; 0              ; 0            ; 0              ; 20     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|ifetch_tag_stage|oh_to_idx_selected_thread                            ; 4     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|ifetch_tag_stage|arbiter_thread_select                                ; 7     ; 1              ; 0            ; 1              ; 4      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core|ifetch_tag_stage                                                      ; 90    ; 0              ; 0            ; 0              ; 121    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; core_gen[0].core                                                                       ; 594   ; 0              ; 0            ; 0              ; 693    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+----------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
